question,product_description,image_url,label
What is the size range of these patterns,The Colette Sewing Handbook: 5 Fundamentals for a Great Sewing Experience,https://www.amazon.co.uk/ask/questions/Tx355VHZZKHVDO0,0
Are the instructions in uk or us terms?,Absolutely Gorgeous Doilies,https://www.amazon.co.uk/ask/questions/Tx3IRRIA41T8FP,0
Is this manual good for 2014 model c3,Citroen C3 Petrol & Diesel Service and Repair Manual: 2002-2009 (Haynes Service and Repair Manuals),https://www.amazon.co.uk/ask/questions/Tx3S1FOUZXED62Z,0
Hello does the light have adjustable brightness?,Mighty Bright Blue Xtraflex 2 LED Book Light,https://www.amazon.co.uk/ask/questions/Tx38TXKN5AY0US4,0
Will these inks work with the wf-7720dtwf model?,24 High Capacity ink cartridge to Replace 27XXL T2711-T2714 NON Oem Compatible Cartridges For Epson Workforce WF-3620DWF WF-3640DTWF WF-7110DTW WF-7610DWF WF-7620DTW printers 6 Black 6 Cyan 6 Magenta 6 Yellow by BVH Direct,https://www.amazon.co.uk/ask/questions/Tx1IVEIXUONK5UD,0
Would these work on a concrete path to provide anti slip and let th rain drain thru? The area outside my front door becomes waterlogged and slippery.,The Shopfitting Shop Heavy Duty Rubber Grass Mat 1.5m x 1m x 23mm Thick Childrens Playground Garden Safety Floor Matting,https://www.amazon.co.uk/ask/questions/Tx2YHZSSKB7QCNZ,0
Would this be suitable for a horse to walk over in a field,The Shopfitting Shop Heavy Duty Rubber Grass Mat 1.5m x 1m x 23mm Thick Childrens Playground Garden Safety Floor Matting,https://www.amazon.co.uk/ask/questions/TxCQS7ZZEG6B4R,0
I want two snorkel sets but they're for my boys - they wont be happy with pink.  How do I order blue and red?,TBF KIDS set B Mask and Snorkel Set by Two Bare Feet for snorkelling PINK,https://www.amazon.co.uk/ask/questions/Tx104OLLCIE51R8,0
What is the bottom diameter,60L Galvanised Steel Bin Metal Rubbish Indoor/Outdoor Home Heavy Duty,https://www.amazon.co.uk/ask/questions/Tx3ONAYNUQZ5RQ1,0
Is this brown or black - title says brown description says black?,Zest PAVIA/PRADO 4FT SMALL DOUBLE BED FRAME - BROWN FAUX LEATHER FINISHING,https://www.amazon.co.uk/ask/questions/Tx2IJKSLFVINWRR,0
do these trousers fit like trousers or like leggings ?,LADIES STRETCH TROUSERS PACK OF 2 BOOTLEG STRETCH RIBBED TROUSERS BLACK SIZE 8-26 (14 BLACK REGULAR (30,https://www.amazon.co.uk/ask/questions/Tx1DKV5LVRCPL9J,0
Does it come with a headboard?,Limitless Home 5ft king size leather sleigh bed with storage 4X drawers Black,https://www.amazon.co.uk/ask/questions/Tx3EVM8M07NMZZO,0
Is the cover hard?,Moleskine Squared Notebook,https://www.amazon.co.uk/ask/questions/Tx1YGX6Y2SQX0PD,0
How exactly does the harness stop the dog pulling?,LSW Pet Design No Pull Small Dog - Pet Harness – Breathable Dotty Cotton Design and Sizes (Pink Medium),https://www.amazon.co.uk/ask/questions/Tx1QBFGDZZH0YTE,0
is the inner mixing bowl made of steel or aluminium?,Musso Lussino 4080 Table Top Piccolo Ice cream Making Machine,https://www.amazon.co.uk/ask/questions/Tx1PUQ73P66ZGS5,0
Does it work on an Induction Hob,Bialetti Moka Express Espresso Maker 9 Cup,https://www.amazon.co.uk/ask/questions/Tx39AUN73I0AR7A,0
Does this work on a PS3,Sony Official PlayStation 2 DualShock 2 Controller (PS2),https://www.amazon.co.uk/ask/questions/Tx348G3QSW0X7OT,0
does it come with any games,Nintendo 64 Console (Grey),https://www.amazon.co.uk/ask/questions/TxFZ97M1BENZV6,0
Does it work on today's type of t.vs.,Nintendo 64 Console (Grey),https://www.amazon.co.uk/ask/questions/Tx216VUTVBUFCCN,0
I'm new to DSLR camera's so still learning the basics.I have the Canon eos 700DI was told to grab a nifty fiftywill this lens fit the 700Dthanks,Canon EF 50 mm f/1.8 II Lens,https://www.amazon.co.uk/ask/questions/Tx4LKTJM0823EK,0
Will it fit the Nikon d3200 ?,Nikon 28MM F2.8D AF NIKKOR-Black,https://www.amazon.co.uk/ask/questions/Tx1LQRS6JN70F9N,0
Is this a wide-angle lens or not?,Nikon 2137 AF Nikkor 50 mm F/1.8 D FX Full Frame Prime Lens for Nikon DSLR Cameras,https://www.amazon.co.uk/ask/questions/Tx103GFF9TZS4QM,0
Is this lens made of glass?,Nikon 2137 AF Nikkor 50 mm F/1.8 D FX Full Frame Prime Lens for Nikon DSLR Cameras,https://www.amazon.co.uk/ask/questions/Tx3MWAHHUZG4DUB,0
What Is the difference between this and the f/1.8D?,Nikon 2137 AF Nikkor 50 mm F/1.8 D FX Full Frame Prime Lens for Nikon DSLR Cameras,https://www.amazon.co.uk/ask/questions/Tx1TGHMJMWRIFZ3,0
Hello. sorry to ask... will this work wuth a d5600?   ive had a google but i cant find an amswer. many thanks,Nikon 2137 AF Nikkor 50 mm F/1.8 D FX Full Frame Prime Lens for Nikon DSLR Cameras,https://www.amazon.co.uk/ask/questions/TxQY1MQ07CCQAL,0
Will it focus on d5300? A lot people say it af for d7000 ?,Nikon 2137 AF Nikkor 50 mm F/1.8 D FX Full Frame Prime Lens for Nikon DSLR Cameras,https://www.amazon.co.uk/ask/questions/Tx1JH9Z9YTTKUEU,0
I will be using this for weddings. Do yo think not having the IS will cause issues?,Canon EF 70-200 mm f/2.8 L USM Lens (Non Image Stabilised),https://www.amazon.co.uk/ask/questions/Tx37UVQ688XSIJM,0
Can this pedal be used to change (progress through different voices) with right 1 2 & 3  voices on Tyros 5,Yamaha FC5A Sustain Pedal,https://www.amazon.co.uk/ask/questions/TxY3FJCIHWY3DI,0
will these films work on a instax mini 8 camera,Instax 16385995 Wide Film 20 Shot Pack,https://www.amazon.co.uk/ask/questions/Tx1IEUYXULQNGAF,0
Thanks for the reply's currently this game is only avaliable for pc or devices with CD Rom? however kickstarter are making a version for tablets,Zoombinis Maths Journey,https://www.amazon.co.uk/ask/questions/Tx34LY5V3BXKLRQ,0
can this be used to remove a spark plug?,Gator Grip ETC-200MO Universal Socket,https://www.amazon.co.uk/ask/questions/Tx3S2XDROCVB030,0
How many watts is this machine? I want at least 1000 or 1200? If it is less does it suck effectively? As I want to hoover floorboards and dog hair.,Numatic HVR200A Henry A1 Bagged Cylinder Vacuum Cleaner plus Kit A1 Red/Black,https://www.amazon.co.uk/ask/questions/TxIXNYV6Z6G4NH,0
Would this work with 3ds Max?,Kensington Expert Mouse - Wired Optical Ergonomic Trackball Mouse with Scroll Ring Compatible with Windows & macOS - Space Grey (64325),https://www.amazon.co.uk/ask/questions/Tx1JS7RM7BRHQB9,0
Does this come with the padded extension?,Kensington Expert Mouse - Wired Optical Ergonomic Trackball Mouse with Scroll Ring Compatible with Windows & macOS - Space Grey (64325),https://www.amazon.co.uk/ask/questions/TxYABQ5P55KYK6,0
Can I use the kensington expert mouse model k64325 with lap top?,Kensington Expert Mouse - Wired Optical Ergonomic Trackball Mouse with Scroll Ring Compatible with Windows & macOS - Space Grey (64325),https://www.amazon.co.uk/ask/questions/Tx93V8Z7IU6J4O,0
does this work with windows 10?,Kensington Expert Mouse - Wired Optical Ergonomic Trackball Mouse with Scroll Ring Compatible with Windows & macOS - Space Grey (64325),https://www.amazon.co.uk/ask/questions/Tx235VCKSP21KCN,0
does this game work on the Xbox 360?,Broken Sword: The Sleeping Dragon (Xbox),https://www.amazon.co.uk/ask/questions/TxGP2JYX370Y9Q,0
will it work if you dont already have the sims 2 installed,The Sims 2 (PC CD),https://www.amazon.co.uk/ask/questions/TxQGUHK8JI49MH,0
would this fit a nikon D3200,Canon EF 50 mm-f/1.4 USM Lens Black,https://www.amazon.co.uk/ask/questions/Tx2ZAIFG9QFE2AX,0
would it work on my canon eos 70D?,Canon EF 50 mm-f/1.4 USM Lens Black,https://www.amazon.co.uk/ask/questions/Tx2H308ZU6BW0ZX,0
Does the sizing '30 32 34 etc' refer to bust size or European clothing sizes?,Sloggi Women Double Comfort Top Everyday Bra Black (Black) 36 (Manufacturer Size: 42),https://www.amazon.co.uk/ask/questions/Tx1AM5OHKAIPCM6,0
I have recently acquired a voigtlander asus which belonged to my grandfather . it has a roll film cartridge which takes 120 film would fp4 work ok,Ilford FP4+ 120 Black and White Roll Film,https://www.amazon.co.uk/ask/questions/Tx1WNJESB2RRV1B,0
Is the black (black) ones actually the black and white ones as shown in picture,Converse M9166 Unisex-Adult's Sneakers Black And White (Black (Black/White) 5 UK (37.5 EU EU),https://www.amazon.co.uk/ask/questions/TxA4YGTI6V1YFZ,0
Are these suitable for using on Safari? Or are the 8x40s better?,Olympus Olympus Binocular 10x50 DPS-1,https://www.amazon.co.uk/ask/questions/Tx1NR3YS9ILYLY9,0
What is the largest size Bialetti?,Bialetti Moka Express Espresso Maker 12 Cup,https://www.amazon.co.uk/ask/questions/Tx3LTZIONFCRFU6,0
Is it compatible with Apple Mac? Martin,Logitech USB Desktop Microphone,https://www.amazon.co.uk/ask/questions/Tx29WL04BR4XTTE,0
could i run this if i can run tf2,Silent Hill 3 (PC),https://www.amazon.co.uk/ask/questions/Tx1B8JW47KE0GY5,0
Hi will this fit a canon 1300d body. Thanks,Canon Rear Lens Cap E for EF Lenses,https://www.amazon.co.uk/ask/questions/Tx3SG4NK6YPNHAG,0
can you use te cloth bag for this machine,Numatic HVR200M-22 Henry Micro Vacuum Cleaner Microtex Filtration System 1200W,https://www.amazon.co.uk/ask/questions/Tx32MAFQ6R3G8F5,0
can i use pods with this machine ? if so any advice on brands and method ?,Gaggia Classic 9403/11 Coffee Machine with Professional Filter Holder - Stainless Steel Body,https://www.amazon.co.uk/ask/questions/Tx2139R66F5C9SY,0
How is the lid released after opening,Kenwood CO606 40 Watt 3-in-1 Can Opener Knife Sharpener Bottle Opener - Chrome,https://www.amazon.co.uk/ask/questions/Tx3L00QROQ4DYNG,0
Is it plastic body if so will the Crome scratch,Kenwood CO606 40 Watt 3-in-1 Can Opener Knife Sharpener Bottle Opener - Chrome,https://www.amazon.co.uk/ask/questions/Tx28Q4QDYCO9NLM,0
Could this be used off a lorry inverter that is not giving out clean 240v for a personal computer?.,APC LE1200I Line-R 1200VA Automatic Voltage Regulator Input 230V,https://www.amazon.co.uk/ask/questions/Tx35ERZXF74BW0E,0
Is this an adapter from MS Pro Duo to SD?,Memory Stick Duo adaptor for Memory Stick and Memory Stick Pro,https://www.amazon.co.uk/ask/questions/Tx1AV2ISTDEF6Y0,0
Are these disks any good for storong pictures?,Intenso 1001134 CD-R 90 min Multispeed 25 Pack Cakebox,https://www.amazon.co.uk/ask/questions/TxKVJRTUOA3ZRS,0
will these discs work on a Mac using iTunes .. and could you please explain what over burn is thanks !!,Intenso 1001134 CD-R 90 min Multispeed 25 Pack Cakebox,https://www.amazon.co.uk/ask/questions/Tx39HBBO46VYINL,0
Some people are saying in reviews theres no usb or auto return? it states it in the description that these features exist?,Lenco L-3807 Professional Turntable Record Player,https://www.amazon.co.uk/ask/questions/Tx131S0IAQERYJ1,0
Will this defo work on Xbox 360,Grand Theft Auto III and Grand Theft Auto Vice City- Double Pack (Xbox),https://www.amazon.co.uk/ask/questions/Tx1ZWCXDW0EY1YP,0
Can I put one of these in the attic and run leads to 4 other rooms with another one of these in each of these rooms to run different consoles etc?,NETGEAR GS105UK 5-Port Gigabit Unmanaged Ethernet Switch,https://www.amazon.co.uk/ask/questions/Tx3OGH4KNZB9UFA,0
Would I be able to use this on a power line network?,NETGEAR GS105UK 5-Port Gigabit Unmanaged Ethernet Switch,https://www.amazon.co.uk/ask/questions/TxCE2HUFDSZ84J,0
Is this game compatible with Windows 7 Ent.?,Star Wars: Knights of the Old Republic (PC),https://www.amazon.co.uk/ask/questions/Tx39KR8DS11P2RZ,0
Please help I need the hexagon cutters for this the ones I have are too small,Wilton Soccer Ball Cake Tin 22cm x 9cm (8.75in x 3.5in),https://www.amazon.co.uk/ask/questions/Tx327ISIABTWYKA,0
Quite possibly a daft question but I'm looking for a small vintage amp to plug in a wireless connector into the jack to enable me to play music from,VOX Pathfinder 10 - 10W Guitar Practice Amplifier Combo,https://www.amazon.co.uk/ask/questions/Tx1WHP5XQGWB043,0
